timestamp,roll,pitch,yaw,flex
57403,82.13,-15.54,27848.52,345
57413,84.19,-15.45,27853.48,345
57423,85.99,-15.33,27858.46,345
57433,87.63,-15.26,27863.43,345
57443,84.66,-15.24,27868.42,345
57453,82,-15.19,27873.4,345
57463,79.65,-15.06,27878.39,345
57473,77.48,-15.02,27883.38,345
57483,75.54,-15.05,27888.37,345
57493,73.78,-15.14,27893.36,345
57503,72.1,-15.22,27898.34,345
57513,75.13,-15.21,27903.33,345
57523,77.84,-15.19,27908.31,345
57533,75.78,-15.15,27913.29,345
57543,73.97,-15.11,27918.28,345
57553,72.33,-15.09,27923.26,345
57563,70.83,-15.12,27928.24,345
57573,69.45,-15.2,27933.22,345
57583,72.77,-15.27,27938.2,345
57593,75.81,-15.24,27943.17,345
57603,78.53,-15.22,27948.15,345
57613,80.95,-15.2,27953.13,345
57623,78.56,-15.17,27958.12,345
57633,76.4,-15.19,27963.11,345
57643,74.44,-15.24,27968.09,345
57653,72.75,-15.32,27973.08,345
57663,71.17,-15.45,27978.06,345
57673,69.81,-15.47,27983.05,345
57683,68.62,-15.45,27988.03,345
57693,67.52,-15.44,27993.01,345
57703,71.05,-15.44,27997.99,345
57713,74.18,-15.42,28002.96,345
57723,76.96,-15.48,28007.94,345
57733,74.94,-15.52,28012.92,345
57743,73.19,-15.54,28017.9,345
57753,71.67,-15.5,28022.88,345
57763,70.24,-15.47,28027.86,345
57773,68.95,-15.4,28032.85,345
57783,67.78,-15.36,28037.83,345
57793,71.23,-15.33,28042.8,345
57803,74.37,-15.28,28047.78,345
57813,77.24,-15.22,28052.76,345
57823,79.76,-15.25,28057.74,345
57833,77.55,-15.3,28062.72,345
57843,75.63,-15.31,28067.71,345
57853,73.86,-15.3,28072.69,345
57863,72.31,-15.25,28077.68,345
57873,75.39,-15.19,28082.66,345
57883,78.12,-15.14,28087.64,345
57893,80.48,-15.12,28092.62,345
57903,82.63,-15.14,28097.6,345
57913,84.54,-15.18,28102.58,345
57923,81.75,-15.22,28107.57,345
57933,79.28,-15.28,28112.55,345
57943,77.13,-15.33,28117.54,345
57953,75.25,-15.32,28122.52,345
57963,73.53,-15.32,28127.51,345
57973,76.46,-15.34,28132.49,345
57983,79.05,-15.33,28137.47,345
57993,81.37,-15.32,28142.45,345
58003,83.43,-15.31,28147.43,345
58013,80.79,-15.34,28152.41,345
58023,78.4,-15.33,28157.4,345
58033,76.33,-15.32,28162.38,345
58043,74.46,-15.34,28167.36,345
58053,72.8,-15.32,28172.35,345
58053,72.8,-15.32,28172.35,345
58063,71.27,-15.3,28177.33,345
58073,74.39,-15.29,28182.31,345
58083,77.17,-15.31,28187.29,345
58093,79.64,-15.35,28192.28,345
58103,77.34,-15.36,28197.26,345
58113,75.3,-15.39,28202.23,345
58123,73.6,-15.38,28207.21,345
58133,72.04,-15.36,28212.2,345
58143,70.65,-15.35,28217.18,349
58153,69.36,-15.31,28222.16,349
58163,68.16,-15.29,28227.15,349
58173,67.07,-15.26,28232.13,349
58183,70.59,-15.23,28237.12,349
58193,73.77,-15.21,28242.1,349
58203,76.62,-15.23,28247.08,349
58213,74.68,-15.25,28252.06,349
58223,72.94,-15.27,28257.04,349
58233,71.42,-15.27,28262.03,349
58243,70.06,-15.23,28267.01,349
58253,68.88,-15.21,28271.99,345
58263,67.75,-15.23,28276.97,345
58273,71.16,-15.25,28281.95,345
58283,74.18,-15.31,28286.93,345
58293,72.46,-15.31,28291.91,345
58303,70.93,-15.31,28296.89,345
58313,69.61,-15.31,28301.87,345
58323,72.99,-15.28,28306.85,345
58333,76.03,-15.23,28311.83,345
58343,78.69,-15.23,28316.82,345
58353,76.52,-15.27,28321.81,345
58363,74.49,-15.32,28326.79,345
58373,72.72,-15.33,28331.78,345
58383,71.18,-15.32,28336.76,345
58393,69.81,-15.33,28341.75,345
58403,68.57,-15.32,28346.73,345
58413,67.45,-15.35,28351.71,359
58423,66.41,-15.36,28356.69,358
58433,65.43,-15.41,28361.68,344
58443,64.62,-15.41,28366.66,357
58453,63.85,-15.38,28371.64,358
58463,63.2,-15.37,28376.62,356
58473,62.63,-15.36,28381.6,352
58483,62.11,-15.34,28386.58,358
58493,61.66,-15.33,28391.56,358
58503,61.3,-15.31,28396.55,358
58513,60.93,-15.31,28401.53,356
58523,60.6,-15.28,28406.51,356
58533,60.25,-15.28,28411.49,352
58543,59.91,-15.26,28416.47,353
58553,59.59,-15.26,28421.45,353
58563,59.34,-15.2,28426.44,357
58573,59.2,-15.16,28431.42,360
58583,63.56,-15.14,28436.4,361
58593,67.49,-15.13,28441.38,362
58603,66.54,-15.14,28446.37,361
58613,65.66,-15.14,28451.36,360
58623,64.82,-15.2,28456.34,361
58633,64.06,-15.23,28461.33,362
58643,63.32,-15.22,28466.31,362
58653,62.69,-15.24,28471.3,362
58663,62.13,-15.2,28476.28,363
58673,66.17,-15.17,28481.26,363
58683,69.76,-15.13,28486.24,362
58693,73.05,-15.11,28491.22,362
58703,75.96,-15.13,28496.2,360
58713,74.1,-15.12,28501.18,360
58723,72.41,-15.12,28506.16,361
58733,70.87,-15.09,28511.15,361
58743,69.54,-15.07,28516.13,361
58753,68.34,-15.06,28521.11,361
58763,67.34,-15.04,28526.1,363
58773,70.95,-14.99,28531.08,363
58783,74.14,-14.96,28536.06,362
58793,76.94,-14.99,28541.05,362
58803,74.91,-15,28546.03,363
58813,73.12,-15.06,28550.52,365
58823,71.56,-15.13,28556,365
58833,70.16,-15.12,28560.98,364
58843,68.87,-15.14,28565.96,365
58853,67.71,-15.13,28570.95,364
58863,66.69,-15.08,28575.93,365
58873,65.74,-15.07,28580.91,364
58883,64.93,-15.07,28585.89,364
58893,64.17,-15.06,28590.87,365
58903,63.54,-15.04,28595.86,366
58913,62.93,-15.05,28600.84,365
58923,62.41,-15.1,28605.82,364
58933,61.87,-15.1,28610.81,365
58943,61.38,-15.11,28615.79,365
58953,60.95,-15.1,28620.77,364
58963,60.57,-15.14,28625.75,366
58973,60.21,-15.17,28630.73,365
58983,59.92,-15.13,28635.71,366
58993,59.67,-15.11,28640.7,364
59003,59.45,-15.1,28645.68,364
59013,59.29,-15.08,28650.67,364
59023,59.09,-15.08,28655.66,364
59033,58.93,-15.08,28660.64,365
59043,58.72,-15.11,28665.63,366
59053,58.54,-15.19,28670.61,365
59053,58.54,-15.19,28670.61,365
59063,58.42,-15.2,28675.59,365
59073,62.77,-15.24,28680.56,364
59083,66.71,-15.24,28685.54,364
59093,70.23,-15.2,28690.53,364
59103,68.95,-15.14,28695.51,363
59113,67.74,-15.12,28700.5,366
59123,66.67,-15.11,28705.48,364
59133,65.74,-15.11,28710.46,362
59143,64.87,-15.11,28715.44,361
59153,64.2,-15.07,28720.42,360
59163,63.48,-15.08,28725.39,358
59173,62.83,-15.07,28730.37,357
59183,62.29,-15.01,28735.35,355
59193,61.81,-14.98,28740.33,356
59203,61.39,-14.98,28745.31,354
59213,61.01,-14.95,28750.29,354
59223,60.65,-14.95,28755.27,354
