timestamp,roll,pitch,yaw,flex
28363,10.49,-1.06,14078.55,374
28373,9.78,-1.07,14083.53,373
28383,9.15,-1.07,14088.52,373
28393,8.58,-1.06,14093.51,373
28403,8.07,-1.05,14098.49,373
28413,7.61,-1.05,14103.48,373
28423,7.2,-1.04,14108.46,374
28433,6.83,-1.04,14113.44,376
28443,6.49,-1.04,14118.42,374
28453,6.19,-1.05,14123.4,374
28463,5.92,-1.05,14128.38,376
28473,5.67,-1.05,14133.37,376
28483,5.46,-1.05,14138.35,377
28493,5.26,-1.05,14143.33,378
28503,5.09,-1.04,14148.32,378
28513,4.93,-1.04,14153.3,378
28523,4.79,-1.04,14158.28,377
28533,4.67,-1.04,14163.27,377
28543,4.55,-1.04,14168.25,377
28553,4.44,-1.04,14173.24,377
28563,4.34,-1.05,14178.22,376
28573,4.26,-1.05,14183.21,376
28583,4.18,-1.05,14188.19,376
28593,4.1,-1.06,14193.18,376
28603,4.04,-1.06,14198.16,376
28613,3.98,-1.06,14203.14,376
28623,3.94,-1.06,14208.13,376
28633,3.9,-1.06,14213.11,375
28643,3.86,-1.06,14218.1,376
28653,3.81,-1.06,14223.08,376
28663,3.78,-1.06,14228.07,375
28673,8.24,-1.06,14233.05,373
28683,12.26,-1.07,14238.04,375
28693,15.87,-1.07,14243.02,379
28703,14.63,-1.08,14248,376
28713,13.51,-1.08,14252.99,376
28723,12.51,-1.08,14257.97,375
28733,11.6,-1.08,14262.96,376
28743,10.79,-1.07,14267.94,376
28753,10.06,-1.07,14272.93,376
28763,9.4,-1.06,14277.91,376
28773,13.31,-1.06,14282.89,376
28783,16.82,-1.06,14287.87,376
28793,15.47,-1.06,14292.86,376
28803,14.27,-1.06,14297.84,376
28813,13.19,-1.06,14302.82,376
28823,12.22,-1.06,14307.81,377
28833,11.36,-1.05,14312.79,377
28843,10.57,-1.04,14317.77,378
28853,14.36,-1.04,14322.75,378
28863,17.77,-1.04,14327.74,378
28873,16.33,-1.04,14332.72,378
28883,15.04,-1.04,14337.71,377
28893,13.88,-1.04,14342.69,378
28903,12.84,-1.04,14347.68,379
28913,11.9,-1.04,14352.66,378
28923,11.06,-1.04,14357.65,375
28933,10.3,-1.04,14362.63,378
28943,9.62,-1.04,14367.62,380
28953,9,-1.04,14372.6,379
28963,8.45,-1.04,14377.58,379
28973,7.95,-1.05,14382.57,379
28983,7.5,-1.05,14387.55,378
28993,11.59,-1.05,14392.54,379
29003,15.28,-1.05,14397.52,380
29013,18.6,-1.04,14402.5,378
29023,17.08,-1.04,14407.48,378
29033,15.71,-1.04,14412.47,378
29043,14.49,-1.04,14417.45,377
29053,13.39,-1.04,14422.44,378
timestamp,roll,pitch,yaw,379
29063,12.4,-1.03,14427.92,379
29073,11.51,-1.03,14432.4,378
29083,10.71,-1.03,14437.39,378
29093,9.99,-1.03,14442.37,379
29103,9.33,-1.03,14447.36,378
29113,8.74,-1.03,14452.34,377
29123,8.21,-1.03,14457.33,378
29133,7.73,-1.03,14462.31,378
29143,7.31,-1.04,14467.29,377
29153,6.93,-1.04,14472.27,377
29163,6.58,-1.04,14477.26,376
29173,6.27,-1.04,14482.24,377
29183,5.99,-1.04,14487.23,377
29193,5.74,-1.04,14492.22,379
29203,5.51,-1.04,14497.2,378
29213,5.3,-1.04,14502.19,377
29223,5.12,-1.04,14507.17,377
29233,4.95,-1.04,14512.16,377
29243,4.81,-1.05,14517.14,377
29253,4.67,-1.05,14522.12,378
29263,4.55,-1.05,14527.11,378
29273,4.44,-1.05,14532.09,377
29283,4.34,-1.05,14537.07,376
29293,4.25,-1.04,14542.06,378
29303,4.18,-1.04,14547.04,380
29313,4.1,-1.04,14552.03,379
29323,4.04,-1.04,14557.01,378
29333,3.98,-1.04,14562,379
29343,3.93,-1.04,14566.98,378
29353,3.89,-1.04,14571.96,379
29363,3.85,-1.03,14576.95,379
29373,3.82,-1.03,14581.94,379
29383,3.78,-1.03,14586.92,379
29393,3.75,-1.03,14591.91,378
29403,3.72,-1.02,14596.9,379
29413,3.69,-1.02,14601.88,379
29423,3.66,-1.03,14606.87,379
29433,3.64,-1.03,14611.85,379
29443,3.62,-1.03,14616.83,379
29453,3.61,-1.04,14621.81,379
29463,3.59,-1.04,14626.8,379
29473,3.58,-1.04,14631.78,379
29483,3.57,-1.04,14636.76,379
29493,3.56,-1.04,14641.74,380
29503,3.55,-1.04,14646.72,379
29513,3.54,-1.04,14651.71,380
29523,3.53,-1.03,14656.69,380
29533,3.52,-1.03,14661.68,380
29543,3.52,-1.03,14666.66,380
29553,3.52,-1.03,14671.64,380
29563,3.51,-1.03,14676.63,380
29573,3.51,-1.03,14681.61,381
29583,3.5,-1.04,14686.6,380
29593,3.5,-1.04,14691.58,381
29603,3.49,-1.04,14696.56,381
29613,3.49,-1.04,14701.55,381
29623,3.49,-1.03,14706.54,381
29633,3.48,-1.03,14711.52,381
29643,3.48,-1.03,14716.5,382
29653,3.48,-1.03,14721.49,381
29663,3.48,-1.04,14726.47,381
29673,3.48,-1.04,14731.45,381
29683,3.48,-1.04,14736.44,381
29693,3.47,-1.04,14741.42,382
29703,3.47,-1.04,14746.41,382
29713,3.47,-1.04,14751.39,382
29723,3.47,-1.04,14756.37,382
29733,3.47,-1.03,14761.36,382
29743,3.47,-1.03,14766.34,382
29753,3.47,-1.04,14771.33,382
29763,3.47,-1.04,14776.31,381
29773,3.47,-1.04,14781.29,381
29783,3.47,-1.04,14786.28,383
29793,3.47,-1.04,14791.26,382
29803,3.47,-1.04,14796.25,381
29813,3.47,-1.04,14801.23,381
29823,3.47,-1.03,14806.21,381
29833,3.47,-1.03,14811.19,381
29843,3.48,-1.03,14816.18,381
29853,3.47,-1.03,14821.16,381
29863,3.47,-1.03,14826.14,382
29873,3.46,-1.03,14831.13,382
29883,3.46,-1.03,14836.11,383
29893,3.47,-1.03,14841.1,383
29903,3.47,-1.03,14846.09,383
29913,3.47,-1.03,14851.07,383
29923,3.47,-1.03,14856.06,383
29933,3.46,-1.03,14861.04,383
29943,3.46,-1.03,14866.02,383
29953,3.46,-1.03,14871,383
29963,3.46,-1.03,14875.99,384
29973,3.46,-1.03,14880.97,383
29983,3.46,-1.04,14885.96,384
29993,3.46,-1.04,14890.94,384
30003,3.46,-1.04,14895.93,384
30013,3.46,-1.03,14900.91,384
30023,3.46,-1.04,14905.9,384
30033,3.46,-1.04,14910.88,385
30043,3.46,-1.04,14915.86,384
30053,3.46,-1.04,14920.85,385
timestamp,roll,pitch,yaw,385
30063,3.47,-1.03,14926.33,385
30073,3.46,-1.03,14930.82,385
30083,3.46,-1.04,14935.8,385
30093,3.46,-1.04,14940.78,385
30103,3.47,-1.03,14945.77,385
30113,3.47,-1.03,14950.75,385
30123,3.46,-1.03,14955.73,385
30133,3.46,-1.03,14960.72,385
30143,3.46,-1.03,14965.7,386
30153,3.46,-1.04,14970.69,385
30163,3.46,-1.04,14975.67,386
30173,3.46,-1.04,14980.66,385
30183,3.46,-1.04,14985.64,385
30193,3.46,-1.04,14990.63,385
30203,3.46,-1.04,14995.61,385
30213,3.46,-1.04,15000.59,385
30223,3.46,-1.05,15005.57,386
30233,3.46,-1.05,15010.54,386
30243,3.46,-1.05,15015.53,386
30253,3.46,-1.05,15020.51,386
30263,3.46,-1.04,15025.5,386
30273,3.46,-1.04,15030.48,386
30283,3.46,-1.04,15035.47,386
30293,3.46,-1.04,15040.46,386
30303,3.45,-1.03,15045.44,386
30313,3.45,-1.03,15050.42,386
30323,3.45,-1.04,15055.4,386
30333,3.46,-1.04,15060.38,386
30343,3.45,-1.04,15065.37,386
30353,3.45,-1.03,15070.35,386
30363,3.45,-1.03,15075.34,386
30373,3.45,-1.03,15080.32,386
30383,3.45,-1.03,15085.31,386
30393,3.46,-1.03,15090.29,386
30403,3.46,-1.03,15095.28,387
30413,3.46,-1.03,15100.26,386
30423,3.46,-1.03,15105.24,386
30433,3.46,-1.03,15110.23,386
30443,3.46,-1.03,15115.21,386
30453,3.46,-1.03,15120.2,386
30463,3.46,-1.03,15125.18,386
30473,3.46,-1.03,15130.16,386
30483,3.46,-1.03,15135.15,386
30493,3.46,-1.03,15140.13,386
30503,3.46,-1.03,15145.11,386
30513,3.46,-1.03,15150.1,386
30523,3.46,-1.03,15155.08,386
30533,3.47,-1.03,15160.06,386
30543,3.47,-1.03,15165.05,386
30553,3.46,-1.03,15170.03,386
30563,3.46,-1.03,15175.01,389
30573,3.45,-1.03,15180,386
30583,3.45,-1.03,15184.98,375
30593,3.45,-1.03,15189.96,386
30603,3.45,-1.03,15194.94,397
30613,3.46,-1.03,15199.92,386
30623,3.46,-1.03,15204.9,386
30633,3.46,-1.03,15209.89,386
30643,3.46,-1.03,15214.87,386
30653,3.46,-1.02,15219.86,386
30663,3.46,-1.02,15224.84,386
30673,3.46,-1.02,15229.83,387
30683,3.46,-1.02,15234.81,386
30693,3.45,-1.02,15239.79,386
30703,3.46,-1.03,15244.77,386
30713,3.46,-1.03,15249.75,386
30723,3.46,-1.03,15254.74,386
30733,3.46,-1.03,15259.72,386
30743,3.46,-1.03,15264.7,385
30753,3.46,-1.03,15269.69,386
30763,3.46,-1.03,15274.67,385
30773,3.46,-1.02,15279.65,386
30783,3.46,-1.02,15284.64,386
30793,3.47,-1.02,15289.62,385
30803,3.47,-1.03,15294.6,386
30813,3.47,-1.03,15299.59,386
30823,3.47,-1.02,15304.57,386
30833,3.47,-1.02,15309.55,386
30843,3.47,-1.02,15314.54,386
30853,3.47,-1.02,15319.52,385
30863,3.47,-1.02,15324.5,386
30873,3.47,-1.02,15329.49,386
30883,3.47,-1.02,15334.47,385
30893,3.46,-1.02,15339.45,384
30903,3.47,-1.02,15344.43,386
30913,3.47,-1.02,15349.41,385
30923,3.47,-1.02,15354.39,386
30933,3.47,-1.01,15359.37,391
30943,3.47,-1.01,15364.36,386
30953,3.47,-1.01,15369.34,384
30963,3.47,-1.01,15374.33,387
30973,3.47,-1.02,15379.31,385
30983,3.47,-1.01,15384.3,385
30993,3.47,-1.01,15389.28,398
31003,3.47,-1.02,15394.27,386
31013,3.47,-1.01,15399.25,385
31023,3.47,-1.01,15404.23,386
31033,3.47,-1.01,15409.22,386
31043,3.47,-1.01,15414.2,385
31053,3.47,-1.01,15419.19,386
timestamp,roll,pitch,yaw,385
31063,3.47,-1.01,15424.67,386
31073,3.47,-1.01,15429.16,386
31083,3.47,-1.01,15434.14,386
31093,3.47,-1.01,15439.12,386
31103,3.47,-1.01,15444.11,386
31113,3.47,-1.02,15449.09,386
31123,3.47,-1.01,15454.08,386
31133,3.47,-1.01,15459.06,386
31143,3.47,-1.02,15464.04,386
31153,3.47,-1.02,15469.02,386
31163,3.47,-1.02,15474,386
31173,3.47,-1.02,15478.99,386
31183,3.47,-1.02,15483.97,386
31193,3.47,-1.02,15488.95,386
31203,3.47,-1.02,15493.93,387
31213,3.47,-1.02,15498.91,386
31223,3.47,-1.01,15503.9,386
31233,3.47,-1.01,15508.88,385
31243,3.47,-1.01,15513.86,386
31253,3.48,-1.01,15518.84,386
31263,3.48,-1.01,15523.82,386
31273,3.48,-1.01,15528.8,386
31283,3.48,-1.01,15533.78,386
31293,3.48,-1.01,15538.76,386
31303,3.47,-1,15543.74,386
31313,3.47,-1,15548.72,387
31323,3.47,-1,15553.71,386
31333,3.47,-1,15558.69,386
31343,3.47,-1,15563.68,386
31353,3.48,-1,15568.67,385
31363,3.48,-1,15573.65,386
31373,3.48,-1,15578.63,386
31383,3.48,-1,15583.62,385
31393,3.47,-1.01,15588.6,384
31403,3.47,-1.01,15593.58,385
31413,3.47,-1.01,15598.57,385
31423,3.47,-1.01,15603.55,384
31433,3.47,-1.01,15608.53,385
31443,3.47,-1.01,15613.52,385
31453,3.47,-1.01,15618.5,385
31463,3.47,-1.01,15623.48,385
31473,3.46,-1.02,15628.46,385
31483,3.46,-1.02,15633.44,385
31493,3.46,-1.02,15638.43,384
31503,3.47,-1.02,15643.41,385
31513,3.47,-1.01,15648.4,384
31523,3.47,-1.01,15653.38,384
31533,3.47,-1,15658.37,385
31543,3.47,-1,15663.35,385
31553,3.47,-1,15668.34,384
31563,3.47,-1,15673.32,386
31573,3.47,-1,15678.31,385
31583,3.47,-1.01,15683.29,385
31593,3.47,-1,15688.28,386
31603,3.47,-1.01,15693.26,385
31613,3.47,-1.01,15698.24,385
31623,3.47,-1.01,15703.22,385
31633,3.47,-1.01,15708.21,385
31643,3.47,-1.01,15713.19,385
31653,3.47,-1,15718.18,385
31663,3.47,-1,15723.16,385
31673,3.47,-1,15728.15,384
31683,3.47,-1,15733.13,385
31693,3.47,-1,15738.12,385
31703,3.47,-1,15743.1,385
31713,3.47,-1,15748.08,386
31723,3.47,-1,15753.06,385
31733,3.47,-1,15758.05,385
31743,3.47,-1,15763.03,384
31753,3.48,-1.01,15768.01,384
31763,3.48,-1.01,15772.99,385
31773,3.47,-1.01,15777.98,385
31783,3.47,-1.01,15782.96,384
31793,3.47,-1.01,15787.95,385
31803,3.47,-1,15792.93,385
31813,3.47,-1.01,15797.91,385
31823,3.47,-1,15802.89,386
31833,3.46,-1.01,15807.87,385
