Timestamp,Roll,Pitch,Yaw,Flex
16:45:14.050678,415133,4.73,-1.03,198622.02,269.00
16:45:14.057484,415143,4.61,-1.03,198627.00,269.00
16:45:14.066865,415153,4.49,-1.02,198631.98,269.00
16:45:14.076872,415163,4.39,-1.02,198636.97,269.00
16:45:14.087402,415173,4.29,-1.02,198641.95,269.00
16:45:14.096865,415183,4.20,-1.02,198646.94,270.00
16:45:14.106804,415193,4.12,-1.02,198651.92,269.00
16:45:14.116842,415203,4.04,-1.02,198656.91,270.00
16:45:14.126839,415213,3.98,-1.03,198661.89,269.00
16:45:14.136887,415223,3.92,-1.03,198666.88,269.00
16:45:14.146857,415233,3.87,-1.03,198671.86,270.00
16:45:14.156218,415243,3.82,-1.04,198676.84,269.00
16:45:14.166840,415253,3.78,-1.04,198681.83,269.00
16:45:14.176820,415263,3.74,-1.04,198686.81,269.00
16:45:14.186821,415273,3.71,-1.04,198691.80,269.00
16:45:14.196804,415283,3.68,-1.03,198696.78,269.00
16:45:14.206216,415293,3.65,-1.03,198701.77,269.00
16:45:14.216845,415303,3.63,-1.03,198706.75,269.00
16:45:14.226865,415313,3.60,-1.02,198711.73,270.00
16:45:14.236868,415323,3.58,-1.02,198716.72,270.00
16:45:14.246845,415333,3.56,-1.02,198721.70,270.00
16:45:14.256209,415343,3.55,-1.03,198726.69,269.00
16:45:14.266866,415353,3.54,-1.02,198731.67,269.00
16:45:14.276864,415363,3.54,-1.02,198736.66,269.00
16:45:14.286850,415373,3.53,-1.02,198741.64,269.00
16:45:14.296875,415383,3.51,-1.02,198746.63,269.00
16:45:14.306247,415393,3.50,-1.02,198751.61,269.00
16:45:14.316853,415403,7.99,-1.03,198756.59,269.00
16:45:14.326848,415413,7.52,-1.03,198761.58,269.00
16:45:14.336941,415423,7.10,-1.04,198766.56,270.00
16:45:14.346850,415433,6.73,-1.04,198771.55,269.00
16:45:14.356819,415443,6.40,-1.04,198776.53,269.00
16:45:14.366068,415453,6.11,-1.04,198781.52,270.00
16:45:14.376538,415463,5.84,-1.03,198786.50,270.00
16:45:14.386148,415473,5.60,-1.03,198791.48,270.00
16:45:14.396503,415483,5.38,-1.03,198796.47,270.00
16:45:14.406110,415493,5.18,-1.03,198801.45,270.00
16:45:14.416930,415503,5.00,-1.03,198806.44,270.00
16:45:14.426867,415513,4.83,-1.03,198811.42,266.00
16:45:14.436459,415523,4.69,-1.03,198816.41,270.00
16:45:14.446857,415533,4.56,-1.04,198821.39,270.00
16:45:14.456653,415543,4.45,-1.04,198826.38,270.00
16:45:14.466840,415553,4.35,-1.03,198831.36,269.00
16:45:14.476872,415563,4.26,-1.03,198836.34,268.00
16:45:14.486845,415573,4.18,-1.04,198841.33,270.00
16:45:14.496866,415583,4.10,-1.04,198846.31,268.00
16:45:14.506176,415593,4.02,-1.05,198851.30,269.00
16:45:14.516858,415603,3.95,-1.05,198856.28,270.00
16:45:14.526052,415613,3.90,-1.05,198861.27,270.00
16:45:14.536882,415623,3.85,-1.04,198866.25,268.00
16:45:14.546849,415633,3.81,-1.04,198871.23,270.00
16:45:14.556173,415643,3.77,-1.03,198876.22,270.00
16:45:14.566866,415653,3.74,-1.03,198881.20,270.00
16:45:14.576855,415663,3.70,-1.03,198886.19,270.00
16:45:14.586856,415673,3.67,-1.04,198891.17,269.00
16:45:14.596827,415683,3.65,-1.04,198896.16,270.00
16:45:14.606892,415693,3.62,-1.04,198901.14,270.00
16:45:14.616839,415703,3.60,-1.04,198906.13,270.00
16:45:14.626849,415713,3.58,-1.04,198911.11,270.00
16:45:14.636863,415723,3.56,-1.04,198916.09,270.00
16:45:14.646856,415733,3.55,-1.04,198921.08,270.00
16:45:14.656158,415743,3.53,-1.04,198926.06,270.00
16:45:14.666852,415753,3.51,-1.04,198931.05,269.00
16:45:14.676844,415763,3.50,-1.05,198936.03,270.00
16:45:14.686879,415773,3.48,-1.04,198941.02,270.00
16:45:14.696840,415783,3.48,-1.04,198946.00,269.00
16:45:14.706850,415793,3.48,-1.04,198950.98,269.00
16:45:14.716880,415803,3.47,-1.03,198955.97,270.00
16:45:14.726929,415813,3.47,-1.03,198960.95,270.00
16:45:14.736867,415823,3.46,-1.02,198965.94,269.00
16:45:14.746865,415833,7.96,-1.02,198970.92,270.00
16:45:14.756112,415843,12.00,-1.03,198975.91,270.00
16:45:14.766866,415853,15.64,-1.04,198980.89,270.00
16:45:14.776865,415863,14.41,-1.05,198985.88,270.00
16:45:14.786876,415873,13.30,-1.05,198990.86,269.00
16:45:14.796867,415883,12.31,-1.06,198995.84,270.00
16:45:14.806875,415893,11.42,-1.06,199000.83,270.00
16:45:14.816889,415903,10.62,-1.06,199005.81,270.00
16:45:14.826834,415913,9.91,-1.06,199010.80,270.00
16:45:14.836840,415923,9.26,-1.05,199015.78,270.00
16:45:14.846858,415933,8.68,-1.05,199020.77,270.00
16:45:14.856886,415943,8.16,-1.05,199025.75,270.00
16:45:14.866898,415953,7.68,-1.04,199030.73,270.00
16:45:14.876857,415963,7.26,-1.03,199035.72,269.00
16:45:14.886850,415973,6.87,-1.02,199040.70,270.00
16:45:14.895969,415983,6.52,-1.02,199045.69,270.00
16:45:14.906074,415993,6.20,-1.02,199050.67,270.00
16:45:14.916854,416003,5.92,-1.02,199055.66,270.00
16:45:14.926858,416013,5.67,-1.03,199060.64,270.00
16:45:14.936875,416023,5.45,-1.03,199065.63,270.00
16:45:14.946880,416033,5.24,-1.03,199070.61,270.00
16:45:14.956017,416043,5.06,-1.03,199075.59,270.00
16:45:14.966847,416053,4.89,-1.03,199080.58,270.00
16:45:14.973829,timestamp,roll,pitch,yaw,flex
16:45:14.978188,416063,4.74,-1.03,199086.06,269.00
16:45:14.986846,416073,4.61,-1.03,199090.55,270.00
16:45:14.996874,416083,4.49,-1.03,199095.53,270.00
16:45:15.006098,416093,4.38,-1.04,199100.52,270.00
16:45:15.016866,416103,4.28,-1.04,199105.50,270.00
16:45:15.026866,416113,4.19,-1.04,199110.48,270.00
16:45:15.036428,416123,4.11,-1.04,199115.47,270.00
16:45:15.046655,416133,4.04,-1.04,199120.45,270.00
16:45:15.056168,416143,3.98,-1.03,199125.44,270.00
16:45:15.066265,416153,3.92,-1.03,199130.42,270.00
16:45:15.076207,416163,3.86,-1.03,199135.41,270.00
16:45:15.086537,416173,3.81,-1.03,199140.39,270.00
16:45:15.096490,416183,3.77,-1.03,199145.38,270.00
16:45:15.106567,416193,3.74,-1.03,199150.36,270.00
16:45:15.116377,416203,3.70,-1.03,199155.34,270.00
16:45:15.126792,416213,3.67,-1.03,199160.33,270.00
16:45:15.136506,416223,3.65,-1.03,199165.31,270.00
16:45:15.146422,416233,3.62,-1.03,199170.30,269.00
16:45:15.156088,416243,3.59,-1.04,199175.28,269.00
16:45:15.166887,416253,3.57,-1.04,199180.27,270.00
16:45:15.176878,416263,3.55,-1.04,199185.25,269.00
16:45:15.187064,416273,3.54,-1.04,199190.23,269.00
16:45:15.196786,416283,3.53,-1.04,199195.22,269.00
16:45:15.208326,416293,3.52,-1.04,199200.20,270.00
16:45:15.219766,416303,3.51,-1.04,199205.19,269.00
16:45:15.232233,416313,3.50,-1.03,199210.17,269.00
16:45:15.244467,416323,3.49,-1.03,199215.16,269.00
16:45:15.251633,416333,3.48,-1.03,199220.14,269.00
16:45:15.259209,416343,3.47,-1.03,199225.13,270.00
16:45:15.266276,416353,3.46,-1.03,199230.11,269.00
16:45:15.276356,416363,3.45,-1.03,199235.09,270.00
16:45:15.286615,416373,3.45,-1.03,199240.08,269.00
16:45:15.296208,416383,3.45,-1.03,199245.06,269.00
16:45:15.305997,416393,3.45,-1.03,199250.05,270.00
16:45:15.316866,416403,3.44,-1.03,199255.03,270.00
16:45:15.326880,416413,3.44,-1.03,199260.02,270.00
16:45:15.336820,416423,3.43,-1.04,199265.00,269.00
16:45:15.346839,416433,3.43,-1.04,199269.98,270.00
16:45:15.356940,416443,3.43,-1.04,199274.97,270.00
16:45:15.366821,416453,3.43,-1.04,199279.95,270.00
16:45:15.376812,416463,3.43,-1.03,199284.94,269.00
16:45:15.386840,416473,3.43,-1.03,199289.92,270.00
16:45:15.396866,416483,3.42,-1.03,199294.91,270.00
16:45:15.406852,416493,3.41,-1.02,199299.89,269.00
16:45:15.416839,416503,3.41,-1.03,199304.88,270.00
16:45:15.426895,416513,3.40,-1.03,199309.86,269.00
16:45:15.436867,416523,3.41,-1.03,199314.84,269.00
16:45:15.446921,416533,3.41,-1.03,199319.83,269.00
16:45:15.456800,416543,3.41,-1.03,199324.81,269.00
16:45:15.466866,416553,3.41,-1.03,199329.80,269.00
16:45:15.476898,416563,3.41,-1.03,199334.78,270.00
16:45:15.486877,416573,3.41,-1.03,199339.77,270.00
16:45:15.496959,416583,3.41,-1.03,199344.75,270.00
16:45:15.506890,416593,3.40,-1.03,199349.73,270.00
16:45:15.516875,416603,3.40,-1.03,199354.72,269.00
16:45:15.526887,416613,3.40,-1.03,199359.70,269.00
16:45:15.536792,416623,3.40,-1.03,199364.69,270.00
16:45:15.546846,416633,3.40,-1.03,199369.67,269.00
16:45:15.556573,416643,3.40,-1.03,199374.66,269.00
16:45:15.566866,416653,3.40,-1.03,199379.64,270.00
16:45:15.576866,416663,3.40,-1.03,199384.63,270.00
16:45:15.586880,416673,3.40,-1.03,199389.61,270.00
16:45:15.596879,416683,3.40,-1.03,199394.59,270.00
16:45:15.606853,416693,3.40,-1.03,199399.58,270.00
16:45:15.616866,416703,3.40,-1.03,199404.56,270.00
16:45:15.626867,416713,3.40,-1.03,199409.55,270.00
16:45:15.636866,416723,3.40,-1.03,199414.53,270.00
16:45:15.646849,416733,3.40,-1.03,199419.52,270.00
16:45:15.656856,416743,3.40,-1.03,199424.50,270.00
16:45:15.666866,416753,3.40,-1.03,199429.48,270.00
16:45:15.676864,416763,3.40,-1.03,199434.47,270.00
16:45:15.686882,416773,3.40,-1.03,199439.45,269.00
16:45:15.696887,416783,3.40,-1.03,199444.44,270.00
16:45:15.705989,416793,3.40,-1.03,199449.42,270.00
16:45:15.716652,416803,3.40,-1.03,199454.41,270.00
16:45:15.726885,416813,3.40,-1.03,199459.39,270.00
16:45:15.736894,416823,3.40,-1.03,199464.38,270.00
16:45:15.746865,416833,3.40,-1.02,199469.36,270.00
16:45:15.756852,416843,3.40,-1.02,199474.34,270.00
16:45:15.766726,416853,3.40,-1.02,199479.33,270.00
16:45:15.776865,416863,3.40,-1.02,199484.31,270.00
16:45:15.786898,416873,3.40,-1.03,199489.30,270.00
16:45:15.796985,416883,3.40,-1.03,199494.28,270.00
16:45:15.807012,416893,3.40,-1.03,199499.27,270.00
16:45:15.816866,416903,3.40,-1.02,199504.25,270.00
16:45:15.826849,416913,3.40,-1.02,199509.23,270.00
16:45:15.836944,416923,3.40,-1.02,199514.22,270.00
16:45:15.846866,416933,3.40,-1.02,199519.20,270.00
16:45:15.856899,416943,3.40,-1.02,199524.19,269.00
16:45:15.866969,416953,3.40,-1.03,199529.17,268.00
16:45:15.876865,416963,3.40,-1.03,199534.16,268.00
16:45:15.886866,416973,3.40,-1.03,199539.14,268.00
16:45:15.896866,416983,3.40,-1.03,199544.13,268.00
16:45:15.905986,416993,3.40,-1.03,199549.11,268.00
16:45:15.916686,417003,3.40,-1.03,199554.09,269.00
16:45:15.926866,417013,3.39,-1.03,199559.08,268.00
16:45:15.936885,417023,3.39,-1.03,199564.06,269.00
16:45:15.946877,417033,3.40,-1.03,199569.05,269.00
16:45:15.956066,417043,3.40,-1.03,199574.03,268.00
