Timestamp,Roll,Pitch,Yaw,Flex
16:44:58.169138,399253,3.19,-1.73,190744.69,254.00
16:44:58.176671,399263,3.19,-1.72,190749.67,254.00
16:44:58.186843,399273,3.18,-1.72,190754.66,250.00
16:44:58.196860,399283,3.17,-1.72,190759.64,254.00
16:44:58.206853,399293,3.16,-1.72,190764.63,253.00
16:44:58.216869,399303,3.15,-1.72,190769.61,254.00
16:44:58.226844,399313,3.16,-1.72,190774.59,250.00
16:44:58.236869,399323,3.16,-1.72,190779.58,250.00
16:44:58.246851,399333,3.15,-1.72,190784.56,254.00
16:44:58.256151,399343,3.15,-1.73,190789.55,253.00
16:44:58.266249,399353,3.14,-1.73,190794.53,253.00
16:44:58.276312,399363,3.13,-1.73,190799.52,258.00
16:44:58.286631,399373,3.12,-1.73,190804.50,254.00
16:44:58.296843,399383,3.12,-1.73,190809.48,254.00
16:44:58.306869,399393,3.12,-1.73,190814.47,254.00
16:44:58.316876,399403,3.12,-1.72,190819.45,254.00
16:44:58.326796,399413,3.12,-1.72,190824.44,254.00
16:44:58.336842,399423,3.13,-1.72,190829.42,254.00
16:44:58.346853,399433,3.13,-1.72,190834.41,254.00
16:44:58.356843,399443,3.12,-1.72,190839.39,254.00
16:44:58.366845,399453,3.12,-1.72,190844.38,254.00
16:44:58.376872,399463,3.11,-1.73,190849.36,254.00
16:44:58.386861,399473,3.11,-1.73,190854.34,254.00
16:44:58.396843,399483,3.11,-1.73,190859.33,254.00
16:44:58.406884,399493,3.11,-1.72,190864.31,254.00
16:44:58.416419,399503,3.11,-1.72,190869.30,254.00
16:44:58.426827,399513,3.12,-1.72,190874.28,254.00
16:44:58.436874,399523,3.12,-1.72,190879.27,254.00
16:44:58.446842,399533,3.12,-1.72,190884.25,254.00
16:44:58.456828,399543,3.11,-1.72,190889.23,254.00
16:44:58.466886,399553,3.11,-1.72,190894.22,254.00
16:44:58.476844,399563,3.10,-1.73,190899.20,253.00
16:44:58.486827,399573,3.10,-1.73,190904.19,254.00
16:44:58.496879,399583,3.10,-1.73,190909.17,255.00
16:44:58.506844,399593,3.10,-1.73,190914.16,254.00
16:44:58.516842,399603,3.11,-1.72,190919.14,254.00
16:44:58.526840,399613,3.11,-1.72,190924.13,254.00
16:44:58.536868,399623,3.11,-1.72,190929.11,254.00
16:44:58.546843,399633,3.11,-1.72,190934.09,254.00
16:44:58.556740,399643,3.11,-1.72,190939.08,254.00
16:44:58.566853,399653,3.11,-1.72,190944.06,254.00
16:44:58.576844,399663,3.11,-1.72,190949.05,254.00
16:44:58.586879,399673,3.11,-1.71,190954.03,254.00
16:44:58.596884,399683,3.11,-1.72,190959.02,254.00
16:44:58.606843,399693,3.11,-1.72,190964.00,254.00
16:44:58.616846,399703,3.11,-1.72,190968.98,254.00
16:44:58.626345,399713,3.11,-1.72,190973.97,253.00
16:44:58.636842,399723,3.11,-1.72,190978.95,253.00
16:44:58.646887,399733,3.11,-1.72,190983.94,253.00
16:44:58.656884,399743,3.10,-1.72,190988.92,253.00
16:44:58.666923,399753,3.10,-1.73,190993.91,253.00
16:44:58.676920,399763,3.10,-1.73,190998.89,253.00
16:44:58.686528,399773,3.10,-1.73,191003.88,254.00
16:44:58.696854,399783,3.11,-1.72,191008.86,254.00
16:44:58.706885,399793,3.11,-1.72,191013.84,254.00
