timestamp,roll,pitch,yaw,flex
88133,11.97,6.67,42650.15,0
88143,11.13,5.96,42655.12,0
88153,14.87,5.32,42660.09,0
88163,18.22,4.73,42665.06,0
88173,21.24,4.2,42670.03,0
88183,23.95,3.72,42675,0
88193,26.41,3.28,42679.98,0
88203,24.13,2.9,42684.97,0
88213,22.08,2.55,42689.96,0
88223,20.24,2.25,42694.95,0
88233,18.58,1.97,42699.94,0
88243,17.09,1.73,42704.93,0
88253,15.73,1.5,42709.91,0
88263,14.51,1.3,42714.89,0
88273,17.9,1.11,42719.86,0
88283,20.95,0.94,42724.83,0
88293,23.7,0.79,42729.8,0
88303,26.16,0.65,42734.78,0
88313,28.38,0.52,42739.75,0
88323,30.39,0.41,42744.74,0
88333,27.71,0.32,42749.73,0
88343,25.31,0.24,42754.72,0
88353,23.16,0.16,42759.71,0
88363,21.22,0.09,42764.71,0
88373,19.47,0.04,42769.71,0
88383,17.9,-0.01,42774.7,0
88393,16.47,-0.05,42779.69,0
88403,15.18,-0.1,42784.67,0
88413,14.02,-0.14,42789.66,0
88423,17.47,-0.17,42794.64,0
88433,20.57,-0.21,42799.62,0
88443,23.36,-0.24,42804.6,0
88453,21.38,-0.27,42809.58,0
88463,19.6,-0.29,42814.56,0
88473,17.99,-0.32,42819.54,0
88483,16.55,-0.34,42824.53,0
88493,15.24,-0.36,42829.51,0
88503,14.07,-0.37,42834.5,0
88513,13.02,-0.39,42839.48,0
88523,12.07,-0.4,42844.46,0
88533,11.21,-0.41,42849.45,0
88543,10.45,-0.42,42854.43,0
88553,9.76,-0.43,42859.42,0
88563,9.14,-0.44,42864.4,0
88573,8.58,-0.45,42869.39,0
88583,8.08,-0.46,42874.37,0
88593,7.62,-0.47,42879.35,0
88603,7.21,-0.48,42884.33,0
88613,6.84,-0.48,42889.31,0
88623,6.5,-0.49,42894.29,0
88633,6.21,-0.49,42899.27,0
88643,5.95,-0.49,42904.25,0
88653,5.71,-0.49,42909.23,0
88663,10,-0.49,42914.21,0
88673,13.86,-0.5,42919.19,0
88683,12.82,-0.5,42924.17,0
88693,11.89,-0.5,42929.16,0
88703,11.06,-0.5,42934.14,0
88713,10.31,-0.51,42939.12,0
88723,9.63,-0.51,42944.11,0
88733,9.02,-0.51,42949.1,0
88743,8.47,-0.51,42954.09,0
88753,7.98,-0.51,42959.07,0
88763,7.54,-0.51,42964.06,0
88773,7.14,-0.51,42969.04,0
88783,6.79,-0.51,42974.03,0
88793,6.47,-0.51,42979.01,0
88803,6.18,-0.51,42983.99,0
88813,5.92,-0.51,42988.97,0
88823,5.68,-0.52,42993.95,0
88833,5.46,-0.52,42998.93,0
88843,5.26,-0.52,43003.91,0
88853,5.08,-0.52,43008.9,0
88863,4.93,-0.52,43013.88,0
