timestamp,roll,pitch,yaw,flex
43633,13.94,0.46,21543.62,270
43643,12.85,0.43,21548.6,270
43653,11.88,0.4,21553.58,270
43663,11.01,0.37,21558.56,272
43673,14.62,-4.25,21563.55,270
43683,17.96,-3.82,21568.53,270
43693,20.95,-3.44,21573.52,270
43703,23.65,-3.1,21578.51,270
43713,26.08,-2.81,21583.49,270
43723,23.76,-2.54,21588.48,270
43733,21.69,-2.3,21593.46,271
43743,19.83,-2.07,21598.45,270
43753,18.17,-1.87,21603.43,271
43763,16.66,-1.68,21608.42,271
43773,15.3,-1.52,21613.4,271
43783,18.57,-1.37,21618.38,270
43793,21.51,-1.24,21623.36,270
43803,24.15,-1.12,21628.33,270
43813,26.53,-1.02,21633.3,270
43823,28.66,-0.92,21638.28,270
43833,30.59,-0.84,21643.25,270
43843,27.82,-0.76,21648.23,270
43853,25.34,-0.69,21653.21,270
43863,23.12,-0.62,21658.19,270
43873,21.11,-0.55,21663.17,277
43883,19.31,-0.5,21668.15,269
43893,17.68,-0.44,21673.13,267
43903,16.21,-0.39,21678.11,270
43913,14.9,-0.35,21683.09,269
43923,13.72,-0.31,21688.08,270
43933,12.65,-0.28,21693.06,270
43943,11.69,-0.25,21698.04,269
43953,10.82,-0.22,21703.03,270
43963,10.04,-0.19,21708.01,270
43973,9.33,-0.17,21712.98,270
43983,8.71,-0.15,21717.96,272
43993,8.14,-0.14,21722.93,273
44003,7.63,-0.13,21727.91,273
44013,7.18,-0.12,21732.89,273
44023,6.76,-0.11,21737.87,273
44033,6.38,-0.09,21742.86,273
44043,6.05,-0.08,21747.84,280
44053,5.74,-0.07,21752.83,281
44053,5.74,-0.07,21752.83,276
44063,5.47,-0.06,21758.31,277
44073,5.22,-0.06,21762.79,270
44083,5.01,-0.05,21767.77,259
44093,4.81,-0.04,21772.75,257
44103,4.64,-0.04,21777.72,229
44113,4.47,-0.03,21782.7,297
44123,4.33,-0.03,21787.68,297
44133,4.19,-0.03,21792.66,308
44143,4.07,-0.03,21797.64,302
44153,3.96,-0.03,21802.62,290
44163,3.86,-0.02,21807.6,284
44173,3.78,-0.01,21812.58,282
44183,3.71,-0.01,21817.56,283
44193,3.65,0,21822.54,277
44203,3.6,0,21827.52,265
44213,3.55,0.01,21832.5,250
44223,3.5,0.01,21837.49,239
44233,3.46,0.02,21842.48,249
44243,3.41,0.02,21847.46,262
44253,3.38,0.02,21852.45,263
44263,3.33,0.02,21857.43,272
44273,3.3,0.02,21862.41,271
44283,3.27,0.03,21867.39,271
44293,3.24,0.03,21872.37,277
44303,3.22,0.03,21877.35,268
44313,3.2,0.02,21882.34,263
44323,3.19,0.02,21887.32,265
44333,3.17,0.02,21892.31,261
44343,3.15,0.01,21897.3,257
44353,3.13,0.01,21902.29,254
44363,3.11,0.01,21907.27,253
44373,3.1,0.02,21912.25,250
44383,3.09,0.02,21917.23,250
44393,3.09,0.02,21922.21,248
44403,3.08,0.02,21927.18,258
44413,7.58,0.02,21932.16,279
44423,11.62,0.02,21937.14,285
44433,10.76,0.01,21942.13,285
44443,9.98,0.01,21947.12,285
44453,9.28,0,21952.1,285
44463,8.65,0,21957.09,286
44473,8.09,0.01,21962.07,284
44483,7.58,0.01,21967.06,284
44493,7.13,0.02,21972.04,283
44503,6.73,0.02,21977.02,283
44513,6.36,0.02,21982,282
44523,6.03,0.02,21986.98,282
44533,5.73,0.01,21991.96,280
44543,5.45,0.01,21996.94,280
44553,5.21,0.01,22001.92,275
44563,4.98,0.02,22006.9,275
44573,4.79,0.02,22011.87,275
44583,9.11,0.03,22016.85,284
44593,13,0.03,22021.83,296
44603,16.5,0.03,22026.81,304
44613,15.14,0.03,22031.79,299
44623,13.93,0.03,22036.78,292
44633,12.84,0.03,22041.76,258
44643,11.86,0.03,22046.75,202
44653,10.98,0.02,22051.73,282
44663,10.18,0.02,22056.72,289
44673,9.47,0.02,22061.7,286
