Timestamp,Roll,Pitch,Yaw,Flex
16:45:55.778833,456813,2.38,-44.49,218604.22,13.00
16:45:55.780697,456823,2.37,-44.49,218609.20,0.00
16:45:55.782723,456833,2.37,-44.49,218614.17,13.00
16:45:55.785052,456843,2.37,-44.50,218619.16,0.00
16:45:55.787421,456853,2.37,-44.51,218624.14,13.00
16:45:55.790515,456863,2.37,-44.51,218629.13,0.00
16:45:55.792516,456873,2.37,-44.51,218634.11,12.00
16:45:55.795823,456883,2.38,-44.51,218639.09,0.00
16:45:55.805868,456893,2.38,-44.50,218644.08,13.00
16:45:55.815864,456903,2.38,-44.50,218649.06,0.00
16:45:55.825844,456913,2.38,-44.50,218654.05,13.00
16:45:55.835865,456923,2.37,-44.50,218659.03,0.00
16:45:55.845856,456933,2.37,-44.50,218664.02,13.00
16:45:55.855854,456943,2.37,-44.50,218669.00,0.00
16:45:55.865849,456953,2.37,-44.51,218673.98,12.00
16:45:55.875839,456963,2.37,-44.50,218678.97,0.00
16:45:55.885842,456973,2.38,-44.50,218683.95,13.00
16:45:55.895866,456983,2.38,-44.50,218688.94,0.00
16:45:55.905446,456993,2.38,-44.50,218693.92,12.00
16:45:55.915878,457003,2.38,-44.50,218698.91,0.00
16:45:55.925864,457013,2.38,-44.49,218703.88,12.00
16:45:55.935993,457023,2.37,-44.49,218708.86,0.00
16:45:55.945897,457033,2.37,-44.49,218713.84,12.00
16:45:55.955838,457043,2.37,-44.49,218718.83,0.00
16:45:55.965871,457053,2.37,-44.49,218723.81,12.00
16:45:55.973828,timestamp,roll,pitch,yaw,flex
16:45:55.975917,457063,2.37,-44.48,218729.30,0.00
16:45:55.985870,457073,2.37,-44.48,218733.78,12.00
16:45:55.995852,457083,2.37,-44.48,218738.77,0.00
16:45:56.005251,457093,2.37,-44.47,218743.75,12.00
16:45:56.015827,457103,2.37,-44.47,218748.73,0.00
16:45:56.025842,457113,2.37,-44.47,218753.72,12.00
16:45:56.035842,457123,2.38,-44.47,218758.70,0.00
16:45:56.045849,457133,2.38,-44.48,218763.69,13.00
16:45:56.055839,457143,2.38,-44.48,218768.67,0.00
16:45:56.065822,457153,2.38,-44.49,218773.66,12.00
16:45:56.075866,457163,2.38,-44.50,218778.64,0.00
16:45:56.085845,457173,2.37,-44.50,218783.63,12.00
16:45:56.095868,457183,2.37,-44.50,218788.61,0.00
16:45:56.105883,457193,2.37,-44.50,218793.58,12.00
16:45:56.115839,457203,2.37,-44.50,218798.55,0.00
16:45:56.125917,457213,2.37,-44.50,218804.02,12.00
16:45:56.135849,457223,2.37,-44.49,218808.50,0.00
16:45:56.145801,457233,2.38,-44.49,218813.48,13.00
16:45:56.155716,457243,2.38,-44.49,218818.47,0.00
16:45:56.165889,457253,2.37,-44.48,218823.45,12.00
16:45:56.175819,457263,2.37,-44.48,218828.44,0.00
16:45:56.185920,457273,2.37,-44.48,218833.41,12.00
16:45:56.195890,457283,2.37,-44.48,218838.38,0.00
16:45:56.205849,457293,2.37,-44.48,218843.36,12.00
16:45:56.215865,457303,2.37,-44.48,218848.34,0.00
16:45:56.225822,457313,2.37,-44.49,218853.33,12.00
16:45:56.235165,457323,2.37,-44.49,218858.31,0.00
16:45:56.245852,457333,6.87,-44.50,218863.30,12.00
16:45:56.255851,457343,10.91,-44.51,218868.27,0.00
16:45:56.265850,457353,14.55,-44.53,218873.23,12.00
16:45:56.275852,457363,13.32,-44.54,218878.20,0.00
16:45:56.285867,457373,12.22,-44.54,218883.17,12.00
16:45:56.295843,457383,11.23,-44.54,218888.16,0.00
16:45:56.305849,457393,10.35,-44.53,218893.14,12.00
16:45:56.315867,457403,9.55,-44.53,218898.13,0.00
16:45:56.325865,457413,8.83,-44.53,218903.11,12.00
16:45:56.335880,457423,8.19,-44.53,218908.09,0.00
16:45:56.345962,457433,7.61,-44.53,218913.08,12.00
16:45:56.355876,457443,7.09,-44.52,218918.06,0.00
16:45:56.365865,457453,6.63,-44.50,218923.05,11.00
16:45:56.375881,457463,6.21,-44.49,218928.03,0.00
16:45:56.385856,457473,5.83,-44.48,218933.02,11.00
16:45:56.395866,457483,5.50,-44.47,218938.00,0.00
16:45:56.405867,457493,5.19,-44.47,218942.98,12.00
16:45:56.415876,457503,9.40,-44.46,218947.98,0.00
16:45:56.425841,457513,8.69,-44.46,218952.97,12.00
16:45:56.435864,457523,8.05,-44.46,218957.95,0.00
16:45:56.445965,457533,7.48,-44.46,218962.94,12.00
16:45:56.455897,457543,6.97,-44.46,218967.92,0.00
16:45:56.465883,457553,6.51,-44.45,218972.91,12.00
16:45:56.475957,457563,6.10,-44.45,218977.89,0.00
16:45:56.485876,457573,5.73,-44.45,218982.88,12.00
16:45:56.495978,457583,5.40,-44.46,218987.86,0.00
16:45:56.505848,457593,5.09,-44.47,218992.84,11.00
16:45:56.515558,457603,4.82,-44.47,218997.83,0.00
16:45:56.525865,457613,4.57,-44.47,219002.81,11.00
16:45:56.535927,457623,4.35,-44.47,219007.78,0.00
16:45:56.545880,457633,4.16,-44.46,219012.75,12.00
16:45:56.555878,457643,3.98,-44.46,219017.72,0.00
16:45:56.565867,457653,3.83,-44.45,219022.70,11.00
16:45:56.575865,457663,3.69,-44.45,219027.69,0.00
16:45:56.585932,457673,3.56,-44.45,219032.67,12.00
16:45:56.595932,457683,3.44,-44.44,219037.66,0.00
16:45:56.605879,457693,3.33,-44.45,219042.64,12.00
16:45:56.615879,457703,3.22,-44.45,219047.63,0.00
16:45:56.625841,457713,3.14,-44.45,219052.61,12.00
16:45:56.635876,457723,3.06,-44.45,219057.58,0.00
16:45:56.645862,457733,2.99,-44.45,219062.55,12.00
16:45:56.655770,457743,2.94,-44.45,219067.52,0.00
16:45:56.665623,457753,2.88,-44.45,219072.50,11.00
16:45:56.675858,457763,2.83,-44.46,219077.48,0.00
16:45:56.685856,457773,7.28,-44.47,219082.47,11.00
16:45:56.695879,457783,6.79,-44.48,219087.45,0.00
16:45:56.705849,457793,6.34,-44.48,219092.44,11.00
16:45:56.715865,457803,5.94,-44.48,219097.42,0.00
16:45:56.725866,457813,5.59,-44.48,219102.39,11.00
16:45:56.735828,457823,5.27,-44.47,219107.38,0.00
16:45:56.745880,457833,4.97,-44.47,219112.36,11.00
16:45:56.755878,457843,4.72,-44.47,219117.34,0.00
16:45:56.765483,457853,4.48,-44.47,219122.33,11.00
16:45:56.775867,457863,4.27,-44.47,219127.31,0.00
16:45:56.785948,457873,4.08,-44.47,219132.30,11.00
16:45:56.795083,457883,3.90,-44.46,219137.28,0.00
16:45:56.805213,457893,3.75,-44.46,219142.27,11.00
16:45:56.815193,457903,3.61,-44.46,219147.25,0.00
16:45:56.825823,457913,3.49,-44.46,219152.23,11.00
16:45:56.835896,457923,3.38,-44.46,219157.22,0.00
16:45:56.845854,457933,3.28,-44.46,219162.20,11.00
16:45:56.855544,457943,3.19,-44.47,219167.19,0.00
16:45:56.865462,457953,3.10,-44.48,219172.17,11.00
16:45:56.875953,457963,3.03,-44.48,219177.16,0.00
16:45:56.885417,457973,2.96,-44.48,219182.14,11.00
16:45:56.895905,457983,2.90,-44.48,219187.13,0.00
16:45:56.904973,457993,2.85,-44.48,219192.09,11.00
16:45:56.917942,458003,2.80,-44.48,219197.06,0.00
16:45:56.928473,458013,2.76,-44.47,219202.05,11.00
16:45:56.939772,458023,2.72,-44.48,219207.03,0.00
16:45:56.949367,458033,2.69,-44.48,219212.02,11.00
16:45:56.960873,458043,2.65,-44.48,219217.00,0.00
16:45:56.972010,458053,2.63,-44.47,219221.98,11.00
16:45:56.985102,timestamp,roll,pitch,yaw,flex
16:45:56.994220,458063,2.60,-44.46,219227.45,0.00
16:45:56.998718,458073,2.58,-44.45,219231.94,11.00
16:45:57.003487,458083,2.56,-44.45,219236.92,0.00
16:45:57.008810,458093,2.55,-44.44,219241.91,11.00
16:45:57.015140,458103,2.54,-44.43,219246.89,0.00
16:45:57.025643,458113,2.52,-44.44,219251.89,11.00
16:45:57.035750,458123,2.50,-44.44,219256.89,0.00
16:45:57.045877,458133,6.99,-44.46,219261.89,10.00
16:45:57.055879,458143,6.51,-44.47,219266.88,0.00
16:45:57.065840,458153,6.09,-44.48,219271.86,10.00
16:45:57.075885,458163,5.71,-44.49,219276.84,0.00
16:45:57.085846,458173,5.37,-44.49,219281.81,10.00
16:45:57.095894,458183,5.08,-44.49,219286.78,0.00
16:45:57.105603,458193,4.81,-44.50,219291.77,10.00
16:45:57.115840,458203,4.57,-44.50,219296.75,0.00
16:45:57.125866,458213,4.34,-44.50,219301.73,11.00
16:45:57.135839,458223,4.14,-44.50,219306.72,0.00
16:45:57.145877,458233,3.96,-44.50,219311.69,10.00
16:45:57.155891,458243,3.81,-44.49,219316.66,0.00
16:45:57.165882,458253,3.67,-44.47,219321.63,11.00
16:45:57.175511,458263,3.55,-44.46,219326.59,0.00
16:45:57.185868,458273,3.44,-44.44,219331.56,10.00
16:45:57.196522,458283,3.34,-44.44,219336.55,0.00
16:45:57.205844,458293,3.25,-44.44,219341.53,10.00
16:45:57.215843,458303,3.16,-44.44,219346.52,0.00
16:45:57.225860,458313,7.58,-44.44,219351.52,11.00
16:45:57.235872,458323,7.05,-44.45,219356.50,0.00
16:45:57.246005,458333,6.58,-44.45,219361.48,10.00
16:45:57.255848,458343,6.16,-44.45,219366.47,0.00
16:45:57.265847,458353,5.78,-44.45,219371.45,10.00
16:45:57.275732,458363,5.44,-44.45,219376.44,0.00
16:45:57.285847,458373,5.13,-44.45,219381.42,10.00
16:45:57.295828,458383,4.85,-44.46,219386.41,0.00
16:45:57.305792,458393,4.60,-44.47,219391.39,10.00
16:45:57.316198,458403,4.37,-44.48,219396.38,0.00
16:45:57.325834,458413,4.16,-44.49,219401.36,10.00
16:45:57.335872,458423,3.98,-44.49,219406.34,0.00
16:45:57.345817,458433,3.81,-44.48,219411.33,10.00
16:45:57.355553,458443,3.67,-44.48,219416.30,0.00
16:45:57.365851,458453,3.55,-44.47,219421.27,10.00
16:45:57.375336,458463,3.44,-44.46,219426.25,0.00
16:45:57.385817,458473,3.34,-44.46,219431.23,10.00
16:45:57.395890,458483,3.24,-44.46,219436.22,0.00
16:45:57.404984,458493,3.15,-44.46,219441.20,10.00
