Timestamp,Roll,Pitch,Yaw,Flex
16:45:29.546027,430633,4.44,-0.15,206222.69,7.00
16:45:29.555452,430643,4.27,-0.14,206227.67,0.00
16:45:29.565497,430653,4.12,-0.14,206232.66,6.00
16:45:29.575590,430663,3.98,-0.14,206237.64,0.00
16:45:29.585155,430673,3.85,-0.14,206242.63,6.00
16:45:29.595574,430683,3.74,-0.14,206247.59,0.00
16:45:29.605190,430693,3.64,-0.14,206252.56,6.00
16:45:29.615328,430703,3.55,-0.14,206257.53,0.00
16:45:29.625945,430713,3.47,-0.13,206262.52,6.00
16:45:29.635718,430723,3.40,-0.12,206267.50,0.00
16:45:29.645832,430733,3.32,-0.11,206272.48,6.00
16:45:29.655825,430743,3.24,-0.11,206277.47,0.00
16:45:29.665846,430753,3.18,-0.10,206282.45,6.00
16:45:29.675850,430763,3.12,-0.09,206287.44,0.00
16:45:29.685862,430773,3.06,-0.09,206292.42,6.00
16:45:29.695494,430783,3.02,-0.10,206297.41,0.00
16:45:29.705879,430793,2.97,-0.09,206302.39,6.00
16:45:29.715789,430803,2.94,-0.09,206307.38,0.00
16:45:29.725577,430813,2.91,-0.10,206312.36,6.00
16:45:29.735870,430823,2.89,-0.10,206317.34,0.00
16:45:29.745112,430833,2.86,-0.11,206322.33,5.00
16:45:29.755885,430843,2.83,-0.11,206327.31,0.00
16:45:29.765869,430853,2.81,-0.10,206332.30,6.00
16:45:29.775887,430863,2.80,-0.10,206337.28,0.00
16:45:29.786003,430873,2.79,-0.09,206342.27,5.00
16:45:29.795850,430883,2.79,-0.08,206347.25,0.00
16:45:29.805822,430893,7.28,-0.09,206352.23,5.00
16:45:29.817321,430903,11.31,-0.10,206357.22,0.00
16:45:29.826861,430913,14.93,-0.11,206362.20,5.00
16:45:29.836846,430923,13.69,-0.12,206367.19,0.00
16:45:29.846854,430933,12.58,-0.13,206372.17,5.00
16:45:29.856836,430943,11.58,-0.13,206377.16,0.00
16:45:29.866287,430953,10.69,-0.13,206382.13,5.00
16:45:29.875844,430963,9.89,-0.12,206387.09,0.00
16:45:29.885863,430973,9.17,-0.11,206392.06,5.00
16:45:29.895532,430983,8.53,-0.10,206397.05,0.00
16:45:29.905872,430993,7.95,-0.09,206402.03,5.00
16:45:29.915869,431003,7.42,-0.08,206407.02,0.00
16:45:29.925533,431013,6.94,-0.08,206412.02,5.00
16:45:29.935869,431023,6.50,-0.08,206417.00,0.00
16:45:29.945131,431033,6.12,-0.08,206421.98,5.00
16:45:29.955844,431043,5.77,-0.08,206426.95,0.00
16:45:29.964999,431053,5.46,-0.07,206431.92,5.00
16:45:29.973863,timestamp,roll,pitch,yaw,flex
16:45:29.979357,431063,5.19,-0.07,206437.39,0.00
16:45:29.985847,431073,4.94,-0.07,206441.88,5.00
16:45:29.995897,431083,9.21,-0.07,206446.86,1.00
16:45:30.006401,431093,13.05,-0.08,206451.86,5.00
16:45:30.016835,431103,16.50,-0.08,206456.86,1.00
16:45:30.026846,431113,15.10,-0.09,206461.84,5.00
16:45:30.036861,431123,13.85,-0.09,206466.83,1.00
16:45:30.046862,431133,12.73,-0.09,206471.80,5.00
16:45:30.056541,431143,11.73,-0.08,206476.77,1.00
16:45:30.066830,431153,10.83,-0.08,206481.73,5.00
16:45:30.076846,431163,10.02,-0.08,206486.72,1.00
16:45:30.085878,431173,9.28,-0.08,206491.70,4.00
16:45:30.095852,431183,8.61,-0.09,206496.69,1.00
16:45:30.105471,431193,8.00,-0.10,206501.69,4.00
16:45:30.115673,431203,7.46,-0.10,206506.69,1.00
16:45:30.125889,431213,6.97,-0.11,206511.67,4.00
16:45:30.135606,431223,6.53,-0.11,206516.66,1.00
16:45:30.145879,431233,6.14,-0.11,206521.64,4.00
16:45:30.155884,431243,5.80,-0.11,206526.61,1.00
16:45:30.165940,431253,5.50,-0.10,206531.58,4.00
16:45:30.176330,431263,5.22,-0.10,206536.56,1.00
16:45:30.185869,431273,4.97,-0.10,206541.55,4.00
16:45:30.195872,431283,4.74,-0.10,206546.53,1.00
16:45:30.205843,431293,4.52,-0.10,206551.53,4.00
16:45:30.215843,431303,4.32,-0.11,206556.52,2.00
16:45:30.225491,431313,4.15,-0.10,206561.50,4.00
16:45:30.235881,431323,4.00,-0.10,206566.48,3.00
16:45:30.245845,431333,3.88,-0.09,206571.45,3.00
16:45:30.255895,431343,3.76,-0.08,206576.42,3.00
16:45:30.265913,431353,3.66,-0.08,206581.41,4.00
16:45:30.275261,431363,3.56,-0.08,206586.39,3.00
16:45:30.286232,431373,7.97,-0.08,206591.38,4.00
16:45:30.297333,431383,11.93,-0.08,206596.38,3.00
16:45:30.307009,431393,10.99,-0.09,206601.36,5.00
16:45:30.316870,431403,10.14,-0.09,206606.34,4.00
16:45:30.325897,431413,9.39,-0.09,206611.33,4.00
16:45:30.335794,431423,8.72,-0.08,206616.30,4.00
16:45:30.345905,431433,8.12,-0.08,206621.28,4.00
16:45:30.355887,431443,7.58,-0.07,206626.27,4.00
16:45:30.366644,431453,11.59,-0.08,206631.25,4.00
16:45:30.376848,431463,15.18,-0.09,206636.23,4.00
16:45:30.386836,431473,18.42,-0.09,206641.22,4.00
16:45:30.396847,431483,16.83,-0.10,206646.20,4.00
16:45:30.406836,431493,15.40,-0.10,206651.19,4.00
16:45:30.416819,431503,14.12,-0.10,206656.17,4.00
16:45:30.426335,431513,12.97,-0.10,206661.16,4.00
16:45:30.436479,431523,11.95,-0.09,206666.13,4.00
16:45:30.447380,431533,11.03,-0.08,206671.11,4.00
16:45:30.456819,431543,10.21,-0.08,206676.09,5.00
16:45:30.465869,431553,9.45,-0.08,206681.08,4.00
16:45:30.476126,431563,13.27,-0.09,206686.06,5.00
16:45:30.486862,431573,12.20,-0.10,206691.05,4.00
16:45:30.496864,431583,11.24,-0.11,206696.03,5.00
16:45:30.506837,431593,10.37,-0.11,206701.02,4.00
16:45:30.515869,431603,9.60,-0.11,206706.00,5.00
16:45:30.525942,431613,8.91,-0.11,206710.97,4.00
16:45:30.535972,431623,8.28,-0.10,206715.95,5.00
16:45:30.545801,431633,7.73,-0.09,206720.94,4.00
16:45:30.555320,431643,7.23,-0.08,206725.92,5.00
16:45:30.565400,431653,6.78,-0.08,206730.91,4.00
16:45:30.575104,431663,6.36,-0.08,206735.89,6.00
16:45:30.585255,431673,5.98,-0.08,206740.88,4.00
16:45:30.595684,431683,5.64,-0.09,206745.86,5.00
16:45:30.605419,431693,5.33,-0.10,206750.84,4.00
16:45:30.615539,431703,5.06,-0.10,206755.83,6.00
16:45:30.625541,431713,4.83,-0.09,206760.81,4.00
16:45:30.635262,431723,4.61,-0.09,206765.80,6.00
16:45:30.645811,431733,4.42,-0.08,206770.78,4.00
16:45:30.655496,431743,4.25,-0.08,206775.77,6.00
16:45:30.665938,431753,4.09,-0.08,206780.75,4.00
16:45:30.678108,431763,3.94,-0.09,206785.73,7.00
16:45:30.688889,431773,3.79,-0.09,206790.72,4.00
16:45:30.698494,431783,3.67,-0.10,206795.70,13.00
16:45:30.710592,431793,3.56,-0.11,206800.69,4.00
16:45:30.721702,431803,3.47,-0.11,206805.67,7.00
16:45:30.736678,431813,3.39,-0.11,206810.64,4.00
16:45:30.754835,431823,3.32,-0.11,206815.63,7.00
16:45:30.763458,431833,3.26,-0.10,206820.61,4.00
16:45:30.768996,431843,3.19,-0.10,206825.59,7.00
16:45:30.774135,431853,3.14,-0.10,206830.58,4.00
16:45:30.778239,431863,3.08,-0.11,206835.56,8.00
16:45:30.785142,431873,3.03,-0.11,206840.55,3.00
16:45:30.794998,431883,2.99,-0.12,206845.53,7.00
16:45:30.805867,431893,2.95,-0.12,206850.52,3.00
16:45:30.815886,431903,2.92,-0.12,206855.50,7.00
16:45:30.825485,431913,2.89,-0.11,206860.48,3.00
16:45:30.835948,431923,2.87,-0.10,206865.47,8.00
16:45:30.845108,431933,2.85,-0.09,206870.45,3.00
16:45:30.855884,431943,2.83,-0.09,206875.44,8.00
16:45:30.865992,431953,2.80,-0.08,206880.44,3.00
16:45:30.875101,431963,2.78,-0.08,206885.42,6.00
16:45:30.885844,431973,2.75,-0.08,206890.41,4.00
16:45:30.895844,431983,2.73,-0.08,206895.39,8.00
16:45:30.905870,431993,2.71,-0.09,206900.36,5.00
16:45:30.915880,432003,2.70,-0.09,206905.33,7.00
16:45:30.925491,432013,7.19,-0.10,206910.31,3.00
16:45:30.935886,432023,6.73,-0.11,206915.30,9.00
16:45:30.945862,432033,6.31,-0.11,206920.28,4.00
16:45:30.955805,432043,5.94,-0.12,206925.27,6.00
16:45:30.965877,432053,5.61,-0.12,206930.25,6.00
