Timestamp,Roll,Pitch,Yaw,Flex
16:45:42.333890,443373,49.91,-5.95,212281.08,0.00
16:45:42.337090,443383,49.90,-5.93,212286.56,2.00
16:45:42.340050,443393,49.86,-5.90,212291.55,0.00
16:45:42.343367,443403,49.86,-5.80,212296.53,2.00
16:45:42.345615,443413,49.91,-5.69,212301.52,0.00
16:45:42.348515,443423,49.96,-5.59,212306.50,2.00
16:45:42.350959,443433,49.93,-5.57,212310.98,0.00
16:45:42.355842,443443,49.93,-5.57,212316.47,2.00
16:45:42.365844,443453,49.94,-5.57,212321.45,0.00
16:45:42.375842,443463,49.92,-5.62,212326.44,2.00
16:45:42.385986,443473,49.89,-5.67,212330.92,0.00
16:45:42.395842,443483,49.81,-5.76,212335.91,2.00
16:45:42.405308,443493,49.78,-5.82,212341.39,0.00
16:45:42.415885,443503,49.81,-5.87,212346.38,2.00
16:45:42.425825,443513,49.83,-5.92,212351.36,0.00
16:45:42.435559,443523,49.87,-5.88,212356.34,2.00
16:45:42.445843,443533,49.92,-5.87,212361.33,0.00
16:45:42.455842,443543,49.98,-5.83,212366.31,2.00
16:45:42.465852,443553,49.97,-5.82,212371.30,0.00
16:45:42.475867,443563,49.97,-5.86,212376.28,2.00
16:45:42.485446,443573,49.94,-5.91,212380.77,0.00
16:45:42.495868,443583,49.84,-5.99,212386.25,2.00
16:45:42.505868,443593,49.82,-6.00,212391.23,0.00
16:45:42.515671,443603,49.87,-5.99,212396.22,2.00
16:45:42.525841,443613,49.86,-5.94,212401.20,0.00
16:45:42.534991,443623,49.88,-5.89,212405.69,2.00
16:45:42.545840,443633,49.91,-5.84,212411.17,0.00
16:45:42.555841,443643,49.97,-5.78,212416.16,2.00
16:45:42.565841,443653,49.93,-5.76,212420.64,0.00
16:45:42.575804,443663,49.88,-5.80,212425.63,2.00
16:45:42.585535,443673,49.84,-5.81,212431.11,0.00
16:45:42.595843,443683,49.76,-5.90,212435.59,2.00
16:45:42.605785,443693,49.69,-5.92,212440.58,0.00
16:45:42.615842,443703,49.65,-5.92,212445.56,2.00
16:45:42.625825,443713,49.67,-5.87,212451.05,0.00
16:45:42.635872,443723,49.66,-5.90,212455.53,2.00
16:45:42.645804,443733,49.71,-5.87,212461.02,0.00
16:45:42.655841,443743,49.75,-5.79,212466.00,2.00
16:45:42.665989,443753,49.85,-5.77,212470.98,0.00
16:45:42.675843,443763,49.87,-5.74,212475.97,2.00
16:45:42.685102,443773,49.85,-5.80,212480.95,0.00
16:45:42.695843,443783,49.87,-5.87,212485.94,2.00
16:45:42.705578,443793,49.82,-5.96,212490.92,0.00
16:45:42.715258,443803,49.85,-6.02,212495.91,2.00
16:45:42.725869,443813,49.87,-6.01,212500.89,0.00
16:45:42.735084,443823,49.86,-6.03,212505.38,2.00
16:45:42.745823,443833,49.90,-5.99,212510.86,0.00
16:45:42.755822,443843,49.88,-5.91,212515.34,1.00
16:45:42.765839,443853,49.91,-5.81,212520.83,0.00
16:45:42.775806,443863,49.93,-5.73,212525.81,1.00
16:45:42.785041,443873,49.93,-5.74,212530.30,0.00
16:45:42.795855,443883,49.91,-5.71,212535.78,1.00
16:45:42.805834,443893,49.88,-5.67,212540.27,0.00
16:45:42.815848,443903,49.85,-5.63,212545.75,3.00
16:45:42.825870,443913,49.78,-5.64,212550.73,0.00
16:45:42.835065,443923,49.70,-5.61,212555.72,2.00
16:45:42.845855,443933,49.65,-5.62,212560.70,0.00
16:45:42.855854,443943,49.67,-5.58,212565.69,3.00
16:45:42.865874,443953,49.70,-5.56,212570.67,0.00
16:45:42.875457,443963,49.74,-5.57,212575.66,2.00
16:45:42.885947,443973,49.79,-5.64,212580.64,0.00
16:45:42.895876,443983,49.84,-5.64,212585.63,2.00
16:45:42.905870,443993,49.84,-5.67,212590.11,0.00
16:45:42.916398,444003,49.81,-5.73,212595.09,2.00
16:45:42.925869,444013,49.77,-5.78,212600.08,0.00
16:45:42.935958,444023,49.74,-5.78,212605.06,1.00
16:45:42.946308,444033,49.73,-5.77,212610.55,0.00
16:45:42.955855,444043,49.77,-5.69,212615.53,1.00
16:45:42.965877,444053,49.85,-5.61,212620.52,0.00
16:45:42.973981,timestamp,roll,pitch,yaw,flex
16:45:42.978639,444063,49.85,-5.58,212625.50,2.00
16:45:42.985064,444073,49.84,-5.58,212630.48,0.00
16:45:42.995884,444083,49.82,-5.59,212635.47,1.00
16:45:43.005881,444093,49.78,-5.60,212640.45,0.00
16:45:43.015876,444103,49.73,-5.62,212645.44,2.00
16:45:43.025849,444113,49.67,-5.65,212650.42,0.00
16:45:43.034996,444123,49.65,-5.64,212655.41,1.00
16:45:43.045825,444133,49.59,-5.62,212660.39,0.00
16:45:43.055824,444143,49.54,-5.60,212665.38,2.00
16:45:43.065823,444153,49.56,-5.56,212670.36,0.00
16:45:43.075821,444163,49.58,-5.52,212675.34,2.00
16:45:43.085903,444173,49.60,-5.52,212679.83,0.00
16:45:43.095856,444183,49.54,-5.59,212685.31,1.00
16:45:43.105842,444193,49.63,-5.57,212690.30,0.00
16:45:43.115853,444203,49.69,-5.62,212695.28,1.00
16:45:43.125883,444213,49.76,-5.65,212700.27,0.00
16:45:43.135881,444223,49.84,-5.68,212705.25,1.00
16:45:43.145870,444233,49.89,-5.70,212710.23,0.00
16:45:43.155941,444243,49.97,-5.75,212715.22,2.00
16:45:43.165878,444253,50.01,-5.81,212720.20,0.00
16:45:43.175796,444263,50.07,-5.79,212725.19,2.00
16:45:43.185859,444273,50.13,-5.70,212730.17,0.00
16:45:43.195851,444283,50.17,-5.62,212735.16,2.00
16:45:43.205265,444293,54.62,-5.59,212740.14,0.00
16:45:43.215914,444303,54.08,-5.56,212745.13,2.00
16:45:43.225868,444313,53.64,-5.53,212750.11,0.00
16:45:43.235885,444323,53.24,-5.45,212755.09,2.00
16:45:43.245860,444333,52.84,-5.40,212760.08,0.00
16:45:43.255882,444343,52.48,-5.37,212765.06,2.00
16:45:43.265876,444353,52.10,-5.40,212770.05,0.00
16:45:43.275854,444363,51.78,-5.42,212774.53,1.00
16:45:43.285888,444373,51.53,-5.40,212780.02,0.00
16:45:43.295853,444383,51.30,-5.38,212785.00,2.00
16:45:43.305842,444393,51.17,-5.47,212789.98,0.00
16:45:43.315847,444403,51.04,-5.51,212794.97,2.00
16:45:43.325926,444413,50.94,-5.53,212799.95,0.00
16:45:43.335697,444423,50.89,-5.59,212804.94,2.00
16:45:43.345185,444433,50.81,-5.65,212809.92,0.00
16:45:43.355066,444443,50.69,-5.78,212814.91,2.00
16:45:43.365946,444453,50.57,-5.89,212819.89,0.00
16:45:43.375721,444463,50.47,-5.94,212824.38,2.00
16:45:43.385572,444473,50.40,-5.99,212829.86,0.00
16:45:43.395339,444483,50.36,-6.03,212834.84,2.00
16:45:43.405466,444493,50.32,-6.01,212839.83,0.00
16:45:43.415554,444503,50.24,-5.96,212844.81,3.00
16:45:43.425914,444513,50.17,-5.90,212849.30,0.00
16:45:43.435177,444523,50.07,-5.87,212854.78,2.00
16:45:43.445589,444533,49.99,-5.85,212859.77,0.00
16:45:43.456748,444543,49.86,-5.89,212864.25,3.00
16:45:43.468229,444553,49.81,-5.90,212869.23,0.00
16:45:43.480101,444563,49.81,-5.83,212874.22,2.00
16:45:43.492094,444573,49.85,-5.74,212879.70,0.00
16:45:43.503142,444583,49.88,-5.62,212884.19,1.00
16:45:43.515320,444593,49.92,-5.51,212889.67,0.00
16:45:43.527179,444603,49.87,-5.52,212894.66,1.00
16:45:43.537462,444613,49.85,-5.52,212899.64,0.00
16:45:43.547024,444623,49.82,-5.49,212904.63,0.00
16:45:43.551518,444633,49.73,-5.60,212909.61,0.00
16:45:43.556601,444643,49.61,-5.74,212914.59,2.00
16:45:43.565295,444653,49.56,-5.87,212919.58,0.00
16:45:43.575440,444663,49.55,-5.91,212924.06,2.00
16:45:43.585608,444673,49.60,-5.83,212929.53,0.00
16:45:43.595849,444683,49.71,-5.75,212934.52,2.00
16:45:43.605822,444693,49.82,-5.66,212939.50,0.00
16:45:43.615836,444703,49.85,-5.63,212944.48,1.00
16:45:43.625838,444713,49.81,-5.73,212949.47,0.00
16:45:43.635997,444723,49.81,-5.81,212953.95,1.00
16:45:43.645842,444733,49.87,-5.90,212959.44,0.00
16:45:43.655987,444743,49.83,-5.97,212964.42,1.00
16:45:43.665843,444753,49.83,-5.96,212969.41,0.00
16:45:43.675952,444763,49.85,-5.88,212974.39,1.00
16:45:43.685436,444773,49.90,-5.78,212979.38,0.00
16:45:43.695843,444783,49.95,-5.66,212984.36,2.00
16:45:43.705859,444793,49.95,-5.56,212989.34,0.00
16:45:43.715857,444803,49.91,-5.57,212994.33,1.00
16:45:43.725843,444813,49.80,-5.63,212999.31,0.00
16:45:43.735857,444823,49.68,-5.69,213004.30,1.00
16:45:43.745855,444833,49.54,-5.77,213008.78,0.00
16:45:43.755881,444843,49.45,-5.73,213014.25,1.00
16:45:43.765871,444853,49.43,-5.69,213018.73,0.00
16:45:43.775868,444863,49.48,-5.61,213024.20,1.00
16:45:43.785800,444873,49.54,-5.53,213029.19,0.00
16:45:43.795001,444883,49.62,-5.47,213033.67,1.00
16:45:43.806378,444893,49.69,-5.48,213039.16,0.00
16:45:43.815863,444903,49.79,-5.53,213044.14,1.00
16:45:43.825844,444913,49.80,-5.61,213049.13,0.00
16:45:43.835121,444923,49.75,-5.63,213054.11,1.00
16:45:43.845850,444933,49.86,-5.67,213059.09,0.00
16:45:43.855840,444943,49.94,-5.66,213064.08,1.00
16:45:43.865853,444953,49.92,-5.68,213068.56,0.00
16:45:43.875843,444963,49.93,-5.73,213074.05,1.00
16:45:43.885872,444973,49.96,-5.70,213079.03,0.00
16:45:43.895842,444983,49.96,-5.63,213084.02,2.00
16:45:43.905484,444993,49.91,-5.54,213088.50,0.00
16:45:43.915096,445003,49.87,-5.53,213093.98,1.00
16:45:43.925869,445013,49.74,-5.52,213098.97,0.00
16:45:43.935851,445023,49.67,-5.47,213103.95,1.00
16:45:43.945855,445033,49.52,-5.51,213108.44,0.00
16:45:43.955843,445043,49.51,-5.48,213113.42,1.00
16:45:43.965310,445053,49.49,-5.42,213118.89,0.00
16:45:43.973851,timestamp,roll,pitch,yaw,flex
16:45:43.978064,445063,49.58,-5.34,213123.88,1.00
16:45:43.985791,445073,49.69,-5.29,213128.86,0.00
16:45:43.995637,445083,49.79,-5.30,213133.84,1.00
16:45:44.005894,445093,49.82,-5.34,213138.83,0.00
16:45:44.015868,445103,49.80,-5.39,213143.81,1.00
